Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,50+
V Kohli (RCB),2008-2025,261,253,40,8396,113*,39.41,6337,132.49,8,60,68
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,66
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,53
RG Sharma (DCH/MI),2008-2025,265,260,30,6856,109*,29.8,5202,131.79,2,45,47
KL Rahul (DC/KXIP/LSG/PBKS/RCB/SRH),2013-2025,139,130,22,5006,132*,46.35,3689,135.7,4,40,44
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,43
SK Raina (CSK/GL),2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,40
F du Plessis (CSK/DC/RCB/RPS),2012-2025,148,141,11,4652,96,35.78,3404,136.66,-,38,38
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,37
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31,3404,123.88,-,36,36
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2025,193,179,18,4913,105*,30.51,3946,124.5,2,33,35
JC Buttler (GT/MI/RR),2016-2025,115,114,15,3938,124,39.77,2643,148.99,7,22,29
SV Samson (DC/RR),2013-2025,175,170,20,4643,119,30.95,3336,139.17,3,26,29
SA Yadav (KKR/MI),2012-2025,159,144,26,3967,103*,33.61,2697,147.08,2,26,28
Shubman Gill (GT/KKR),2018-2025,111,108,16,3521,129,38.27,2569,137.05,4,23,27
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,197,17,4952,88,27.51,3799,130.35,-,27,27
Q de Kock (DC/KKR/LSG/MI/RCB/SRH),2013-2025,114,114,7,3300,140*,30.84,2456,134.36,2,24,26
SR Watson (CSK/RCB/RR),2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,25
SS Iyer (DC/KKR/PBKS),2015-2025,124,123,20,3390,97*,32.91,2595,130.63,-,24,24
MS Dhoni (CSK/RPS),2008-2025,273*,238,99,5383,84*,38.72,3910,137.67,-,24,24
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2025,172,160,27,3869,114*,29.09,3193,121.17,1,22,23
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,23
RD Gaikwad (CSK),2020-2025,71,70,8,2502,108*,40.35,1820,137.47,2,20,22
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,234,50,4842,97*,26.31,3577,135.36,-,22,22
SE Marsh (KXIP),2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,21
N Rana (KKR/MI/RR),2016-2025,116,110,10,2840,87,28.4,2073,136.99,-,20,20
RR Pant (DC/LSG),2016-2025,120,118,17,3390,128*,33.56,2315,146.43,1,19,20
KS Williamson (GT/SRH),2015-2024,79,77,17,2128,89,35.46,1694,125.61,-,18,18
V Sehwag (DC/KXIP),2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,18
GJ Maxwell (DC/KXIP/MI/PBKS/RCB),2012-2025,140,134,17,2812,95,24.03,1809,155.44,-,18,18
DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*,28.39,1764,135.2,-,17,17
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55,2222,109.22,-,17,17
Ishan Kishan (GL/MI/SRH),2016-2025,114*,108,9,2801,106*,28.29,2049,136.7,1,16,17
MEK Hussey (CSK/MI),2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,16
KA Pollard (MI),2010-2022,189,171,52,3412,87*,28.67,2316,147.32,-,16,16
YBK Jaiswal (RR),2020-2025,62,61,2,1963,124,33.27,1306,150.3,2,13,15
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*,25.19,1631,128.2,-,15,15
M Vijay (CSK/DC/KXIP),2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,15
BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,15
JP Duminy (DC/DCH/MI),2009-2018,83,77,26,2029,78*,39.78,1636,124.02,-,14,14
SR Tendulkar (MI),2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,14
PP Shaw (DC),2018-2024,79,79,-,1892,99,23.94,1283,147.46,-,14,14
MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2011-2024,127,121,4,2661,106,22.74,2000,133.05,1,13,14
DA Miller (GT/KXIP/LSG/RR),2012-2025,139,133,49,3042,101*,36.21,2196,138.52,1,13,14
WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2024,170,145,24,2934,115*,24.24,2300,127.56,1,13,14
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,14
VR Iyer (KKR),2021-2025,59,55,7,1461,104,30.43,1064,137.31,1,12,13
AC Gilchrist (DCH/KXIP),2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,13
N Pooran (KXIP/LSG/PBKS/SRH),2019-2025,85,82,19,2146,87*,34.06,1274,168.44,-,13,13
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,126,15,2750,83,24.77,2120,129.71,-,13,13
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81,22.6,2358,120.78,-,13,13
LMP Simmons (MI),2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,12
B Sai Sudharsan (GT),2022-2025,33,33,3,1451,103,48.36,1017,142.67,1,11,12
D Padikkal (LSG/RCB/RR),2020-2025,72,72,3,1789,101*,25.92,1413,126.61,1,11,12
SPD Smith (DC/PWI/RPS/RR),2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,12
RA Tripathi (CSK/KKR/RPS/RR/SRH),2017-2025,100,98,11,2291,93,26.33,1662,137.84,-,12,12
JM Bairstow (PBKS/SRH),2019-2024,50,50,4,1589,114,34.54,1100,144.45,2,9,11
S Badrinath (CSK),2008-2013,95,67,20,1441,71*,30.65,1212,118.89,-,11,11
KK Nair (DC/KXIP/RCB/RR),2013-2025,80,72,5,1631,89,24.34,1241,131.42,-,11,11
DPMD Jayawardene (DC/Kochi/KXIP),2008-2013,80,78,15,1802,110*,28.6,1462,123.25,1,10,11
R Dravid (RCB/RR),2008-2013,89,82,5,2174,75*,28.23,1882,115.51,-,11,11
AD Russell (DC/KKR),2012-2025,135,111,20,2539,88*,27.9,1466,173.19,-,11,11
DP Conway (CSK),2022-2025,26,25,3,1018,92*,46.27,728,139.83,-,10,10
RM Patidar (RCB),2021-2025,36,32,1,1021,112*,32.93,652,156.59,1,9,10
CA Lynn (DCH/KKR/MI),2012-2021,42,42,3,1329,93*,34.07,945,140.63,-,10,10
KC Sangakkara (DCH/KXIP/SRH),2008-2013,71,68,3,1687,94,25.95,1392,121.19,-,10,10
S Dube (CSK/RCB/RR),2019-2025,74*,70,13,1744,95*,30.59,1205,144.73,-,10,10
MP Stoinis (DC/KXIP/LSG/PBKS/RCB),2016-2025,103,94,24,1933,124*,27.61,1358,142.34,1,9,10
HH Pandya (GT/MI),2015-2025,145,133,41,2629,91,28.57,1795,146.46,-,10,10
TM Dilshan (DC/RCB),2008-2013,52,50,7,1153,76*,26.81,1007,114.49,-,9,9
AK Markram (LSG/PBKS/SRH),2021-2025,53,51,9,1321,68*,31.45,983,134.38,-,9,9
PD Salt (DC/KKR/RCB),2023-2025,30,30,2,892,89*,31.85,514,173.54,-,8,8
ML Hayden (CSK),2008-2010,32,32,2,1107,93,36.9,805,137.51,-,8,8
TM Head (RCB/SRH),2016-2025,34*,34,4,1033,102,34.43,608,169.9,1,7,8
H Klaasen (RCB/RR/SRH),2018-2025,44*,41,8,1275,104,38.63,770,165.58,1,7,8
NT Tilak Varma (MI),2022-2025,47,45,11,1389,84*,40.85,955,145.44,-,8,8
Abhishek Sharma (DC/SRH),2018-2025,72*,70,7,1617,141,25.66,1020,158.52,1,7,8
SS Tiwary (DC/MI/RCB/RPS),2008-2021,93,74,22,1494,61,28.73,1244,120.09,-,8,8
DJ Hooda (CSK/KXIP/LSG/PBKS/RR/SRH),2015-2025,122*,100,16,1494,64,17.78,1170,127.69,-,8,8
SP Narine (KKR),2012-2025,184,117,20,1681,109,17.32,1008,166.76,1,7,8
MR Marsh (DC/DCH/LSG/PWI/RPS/SRH),2010-2025,50,44,2,1009,89,24.02,735,137.27,-,7,7
LS Livingstone (PBKS/RCB/RR),2019-2025,46,45,7,1026,94,27,646,158.82,-,7,7
SC Ganguly (KKR/PWI),2008-2012,59,56,3,1349,91,25.45,1263,106.8,-,7,7
V Shankar (CSK/DC/GT/SRH),2014-2025,78,65,18,1233,69*,26.23,950,129.78,-,7,7
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72,1449,116.97,-,7,7
HH Gibbs (DCH/MI),2008-2012,36,36,4,886,69*,27.68,807,109.78,-,6,6
A Symonds (DCH/MI),2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,6
CL White (DCH/RCB/SRH),2008-2013,47,45,9,954,78,26.5,755,126.35,-,6,6
MM Ali (CSK/KKR/RCB),2018-2025,71,59,6,1167,93,22.01,835,139.76,-,6,6
BJ Hodge (KKR/Kochi/RR),2008-2014,66,63,21,1400,73,33.33,1118,125.22,-,6,6
R Parag (RR),2019-2025,79,67,11,1407,84*,25.12,1021,137.8,-,6,6
NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*,20.72,1313,118.35,-,6,6
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*,20.8,1388,122.91,-,6,6
HM Amla (KXIP),2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,5
ST Jayasuriya (MI),2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,5
KP Pietersen (DC/RCB/RPS),2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,5
Prabhsimran Singh (KXIP/PBKS),2019-2025,42,42,-,965,103,22.97,641,150.54,1,4,5
A Badoni (LSG),2022-2025,51,43,10,851,59*,25.78,628,135.5,-,5,5
SM Curran (CSK/KXIP/PBKS),2019-2025,62*,51,13,904,63*,23.78,679,133.13,-,5,5
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,54,18,1000,74*,27.77,788,126.9,-,5,5
